key,en,is
global_indicators:11-4-1-title,"Total expenditure (public and private) per capita spent on the preservation, protection and conservation of all cultural and natural heritage, by type of heritage (cultural, natural, mixed and World Heritage Centre designation), level of government (national, regional and local/municipal), type of expenditure (operating expenditure/investment) and type of private funding (donations in kind, private non-profit sector and sponsorship)","Heildarútgjöld (opinberra aðila og einkaaðila) á mann sem varið er til varðveislu, verndunar og friðunar allrar menningar- og náttúruarfleifðar, eftir tegund arfleifðar (menningararfleifð, náttúruarfleifð, blönduð arfleifð og arfleifð á heimsminjaskrá UNESCO), tegund stjórnvalda (landsstjórn, svæðisstjórn og sveitarstjórn), tegund fjármögnunar (rekstrarútgjöld/fjárfestingar) og tegund einkafjármögnunar (gjafir í fríðu, óhagnaðardrifinn einkageiri og kostun)."
global_indicators:11-5-1-title,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population","Fjöldi dauðsfalla, týndra einstaklinga og fólks sem orðið hefur fyrir beinum áhrifum af völdum hamfara á hverja 100.000 íbúa."
global_indicators:11-5-2-title,"Direct economic loss in relation to global GDP, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters","Beint efnahagslegt tap af völdum hamfara í tengslum við verga landsframleiðslu á hnattræna vísu, skemmdir á þýðingamiklum innviðum og truflanir á veitingu grunnþjónustu."
global_indicators:11-6-1-title,"Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","Hlutfall fasts úrgangs frá þéttbýli sem er safnað saman með reglubundnum hætti og er fargað með viðunandi hætti sem hlutfall af heildarmagni fasts úrgangs í þéttbýli, eftir borgum."
global_indicators:11-6-2-title,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted),"Árlegt meðalgildi fíngerðs ryks (þ.e. PM2,5 og PM10) í borgum (vegið m.v. íbúafjölda)."
global_indicators:11-7-1-title,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities","Meðalhlutfall uppbyggðra svæða í borgum sem eru opin svæði til almennrar notkunar fyrir alla, eftir kyni, aldri og fötluðum einstaklingum."
global_indicators:11-7-2-title,"Proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months","Hlutfall einstaklinga sem eru þolendur líkamlegrar eða kynferðislegrar áreitni, eftir kyni, aldri, fötlun og staðsetningu verknaðar, á síðastliðnum 12 mánuðum."
global_indicators:11-a-1-title,"Proportion of population living in cities that implement urban and regional development plans integrating population projections and resource needs, by size of city","Hlutfall íbúa sem búa í borgum sem komið hafa til framkvæmda áætlunum um þróun í þéttbýli og svæðisbundna þróun þar sem mannfjöldaspár og auðlindanotkun hefur verið samþætt, eftir stærð borgar."
global_indicators:11-b-1-title,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,Fjöldi landa sem hafa samþykkt og komið til framkvæmda innlendum áætlunum um að draga úr áhrifum hamfara í samræmi við Sendai-rammaáætlunina um forvarnir gegn náttúruvá 2015-2030.
global_indicators:11-b-2-title,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Hlutfall sveitarstjórna sem hafa samþykkt og komið til framkvæmda staðbundnum áætlunum um að draga úr áhrifum hamfara í samræmi við innlendar áætlanir um það.
global_indicators:11-c-1-title,"Proportion of financial support to the least developed countries that is allocated to the construction and retrofitting of sustainable, resilient and resource-efficient buildings utilizing local materials","Hlutfall fjárstuðnings til þeirra landa, sem eru skemmst á veg komin í þróun, sem úthlutað er til byggingar og endurbóta á varanlegum, álagsþolnum og auðlindanýtnum byggingum úr byggingarefnum af svæðinu."
global_indicators:12-1-1-title,Number of countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or a target into national policies,Fjöldi landa sem hafa innlendar áætlanir um sjálfbæra neyslu og framleiðslu eða hafa slíkar áætlanir sem forgangsverkefni eða markmið í innlendri stefnumótun.
global_indicators:12-2-1-title,"Material footprint, material footprint per capita, and material footprint per GDP","Efnisspor, efnisspor á mann og efnisspor miðað við verga landsframleiðslu."
global_indicators:12-2-2-title,"Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP","Innlend efnisnotkun, innlend efnisnotkun á mann og innlend efnisnotkun miðað við verga landsframleiðslu."
global_indicators:12-3-1-title,Global food loss index,Hnattrænn stuðull fyrir matvælatap.
global_indicators:12-4-1-title,"Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement",Fjöldi aðila að alþjóðlegum marghliða umhverfissamningum um hættulegan úrgang og önnur efni sem uppfylla skuldbindingar og skyldur þeirra varðandi upplýsingagjöf sem krafa er gerð um í hverjum viðeigandi samningi.
global_indicators:12-4-2-title,"Hazardous waste generated per capita and proportion of hazardous waste treated, by type of treatment","Myndun hættulegs úrgangs á mann og hlutfall hættulegs úrgangs sem fær meðhöndlun, eftir tegund meðhöndlunar."
global_indicators:12-5-1-title,"National recycling rate, tons of material recycled","Innlent endurvinnsluhlutfall, fjöldi tonna sem endurnýttur er."
global_indicators:12-6-1-title,Number of companies publishing sustainability reports,Fjöldi fyrirtækja sem birta skýrslur um sjálfbærni.
global_indicators:12-7-1-title,Number of countries implementing sustainable public procurement policies and action plans,Fjöldi landa sem koma til framkvæmda stefnum og aðgerðaáætlunum um sjálfbær opinber innkaup.
global_indicators:12-8-1-title,Extent to which (i) global citizenship education and (ii) education for sustainable development (including climate change education) are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,"Að hvaða marki i. menntun í heimsborgararétti og ii. menntun í sjálfbærri þróun (þ.m.t. menntun í loftslagsbreytingum),  hefur verið samþætt a) innlendum menntunaráætlunum, b) námskrám, c) kennaramenntun og d) mati á nemendum."
global_indicators:12-a-1-title,Amount of support to developing countries on research and development for sustainable consumption and production and environmentally sound technologies,Umfang stuðnings við þróunarlönd til rannsókna og þróunarstarfsemi vegna sjálfbærrar neyslu og framleiðslu og umhverfisvænnar tækni.
global_indicators:12-b-1-title,Number of sustainable tourism strategies or policies and implemented action plans with agreed monitoring and evaluation tools,Fjöldi sjálfbærra ferðaþjónustustefna eða -áætlana og aðgerðaáætlana sem komið hefur verið til framkvæmda með samþykktum eftirlits- og matsaðferðum.
global_indicators:12-c-1-title,Amount of fossil-fuel subsidies per unit of GDP (production and consumption) and as a proportion of total national expenditure on fossil fuels,Fjárhæð niðurgreiðslna á jarðefnaeldsneyti á hverja einingu vergrar þjóðarframleiðslu (framleiðsla og notkun) og sem hlutfall heildarútgjalda landsins vegna jarðefnaeldsneytis.
global_indicators:13-1-1-title,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population","Fjöldi dauðsfalla, týndra einstaklinga og fólks sem orðið hefur fyrir beinum áhrifum af völdum hamfara á hverja 100.000 íbúa."
global_indicators:13-1-2-title,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,Fjöldi landa sem hafa samþykkt og komið til framkvæmda innlendum áætlunum um að draga úr áhrifum hamfara í samræmi við Sendai-rammaáætlunina um forvarnir gegn náttúruvá 2015-2030.
global_indicators:13-1-3-title,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Hlutfall sveitarstjórna sem hafa samþykkt og komið til framkvæmda staðbundnum áætlunum um að draga úr áhrifum hamfara í samræmi við innlendar áætlanir um það.
global_indicators:13-2-1-title,"Number of countries that have communicated the establishment or operationalization of an integrated policy/strategy/plan which increases their ability to adapt to the adverse impacts of climate change, and foster climate resilience and low greenhouse gas emissions development in a manner that does not threaten food production (including a national adaptation plan, nationally determined contribution, national communication, biennial update report or other)","Fjöldi landa sem hafa tilkynnt um að komið hafi verið á fót samþættri stefnu/stefnuáætlun/áætlun og hún orðin rekstrartæk sem eykur getu þeirra til að laga sig að neikvæðum áhrifum loftslagsbreytinga og stuðla að bættu viðnámi gegn loftslagsbreytingum og þróun í átt að lítilli losun gróðurhúsalofttegunda með hætti sem ógnar ekki matvælaframleiðslu (þ.m.t. með innlendri aðlögunaráætlun, landsákvörðuðu framlagi, landsskýrslu, skýrslugjöf annað hvert ár eða öðru)."
global_indicators:13-3-1-title,"Number of countries that have integrated mitigation, adaptation, impact reduction and early warning into primary, secondary and tertiary curricula","Fjöldi landa sem hafa fellt aðgerðir til mildunar, aðlögunar, skaðaminnkunar og snemmviðvörunar inn í námskrár grunnskóla, framhaldsskóla og æðri menntunar."
global_indicators:13-3-2-title,"Number of countries that have communicated the strengthening of institutional, systemic and individual capacity-building to implement adaptation, mitigation and technology transfer, and development actions","Fjöldi landa sem hafa tilkynnt um eflda getu stofnana, kerfa og einstaklinga til að hrinda í framkvæmd aðgerðum til aðlögunar, mildunar og tækniyfirfærslu, og þróunaraðgerðum."
global_indicators:13-a-1-title,Mobilized amount of United States dollars per year between 2020 and 2025 accountable towards the $100 billion commitment,Tiltækt fjármagn í bandaríkjadölum á ári á tímabilinu 2020 og 2025 sem reiknast upp í 100 milljarða bandaríkjadala skuldbindinguna.
global_indicators:13-b-1-title,"Number of least developed countries and small island developing States that are receiving specialized support, and amount of support, including finance, technology and capacity-building, for mechanisms for raising capacities for effective climate change-related planning and management, including focusing on women, youth and local and marginalized communities","Fjöldi landa, sem eru skemmst á veg komin í þróun og lítilla eyríkja í hópi þróunarríkja, sem fá sérhæfðan stuðning, ásamt umfangi stuðnings, þ.m.t. fjármagn, tækni og getuuppbygging, til að efla getu til að útbúa skilvirkar áætlanir er varða loftslagsbreytingar, m.a. með áherslu á konur, ungmenni, staðbundin samfélög og jaðarhópa."
global_indicators:14-1-1-title,Index of coastal eutrophication and floating plastic debris density,Stuðull fyrir ofauðgun strandsvæða og þéttleika fljótandi plastúrgangs.
global_indicators:14-2-1-title,Proportion of national exclusive economic zones managed using ecosystem-based approaches,Hlutfall af sérefnahagslögsögum landa sem stjórnað er með vistkerfislegum nálgunum.
global_indicators:14-3-1-title,Average marine acidity (pH) measured at agreed suite of representative sampling stations,Meðalsýrustig sjávar mælt á samþykktum fjölda dæmigerðra sýnatökustöðva.
global_indicators:14-4-1-title,Proportion of fish stocks within biologically sustainable levels,Hlutfall fiskistofna innan líffræðilega sjálfbærra marka.
global_indicators:14-5-1-title,Coverage of protected areas in relation to marine areas,Umfang friðaðra svæða sem hlutfall af hafsvæðum.
global_indicators:14-6-1-title,"Progress by countries in the degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing","Árangur landa við framkvæmd alþjóðlegra gerninga sem miða að því að berjast gegn ólöglegum, ótilkynntum og stjórnlausum fiskveiðum."
global_indicators:14-7-1-title,"Sustainable fisheries as a proportion of GDP in small island developing States, least developed countries and all countries","Sjálfbærar fiskveiðar sem hlutfall af vergri þjóðarframleiðslu í litlum eyríkjum í hópi þróunarríkja, löndum sem eru skemmst á veg komin í þróun og öllum löndum."
global_indicators:14-a-1-title,Proportion of total research budget allocated to research in the field of marine technology,Hlutfall heildarfjárveitinga til rannsókna sem ráðstafað er til rannsókna í haftækni.
global_indicators:14-b-1-title,Progress by countries in the degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries,Árangur landa af beitingu laga-/reglu-/stefnu-/stofnanaramma þar sem aðgangsréttur lítilla útgerða er viðurkenndur og varinn.
global_indicators:14-c-1-title,"Number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the United Nations Convention on the Law of the Sea, for the conservation and sustainable use of the oceans and their resources","Fjöldi landa sem náð hafa árangri við að fullgilda, staðfesta og koma til framkvæmda á grundvelli laga-, stefnu- og stofnanaramma gerningum er varða málefni hafsins sem eru til framkvæmdar alþjóðalögum, eins og þau birtast í Hafréttarsamningi Sameinuðu þjóðanna, vegna varðveislu og sjálfbærrar nýtingar hafsins og auðlinda þess."
global_indicators:15-1-1-title,Forest area as a proportion of total land area,Skógi vaxin svæði sem hlutfall af heildarlandsvæði.
global_indicators:15-1-2-title,"Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type","Hlutfall mikilvægra svæða í líffræðilegri fjölbreytni land- og ferskvatnssvæða sem falla undir friðunarsvæði, eftir vistkerfistegund."
global_indicators:15-2-1-title,Progress towards sustainable forest management,Árangur í sjálfbærri skógarstjórnun.
global_indicators:15-3-1-title,Proportion of land that is degraded over total land area,Hlutfall landhnignunar af heildarlandsvæði.
global_indicators:15-4-1-title,Coverage by protected areas of important sites for mountain biodiversity,Umfang friðunarsvæða á mikilvægum stöðum fyrir líffræðilega fjölbreytni á fjallasvæðum.
global_indicators:15-4-2-title,Mountain Green Cover Index,Stuðull fyrir gróðurþekju fjalllendis.
global_indicators:15-5-1-title,Red List Index,Rauðlistastuðull
global_indicators:15-6-1-title,"Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits","Fjöldi landa sem hafa samþykkt laga-, stjórnsýslu- og stefnuramma í því skyni að tryggja sanngjarna og réttláta skiptingu ávinnings."
global_indicators:15-7-1-title,Proportion of traded wildlife that was poached or illicitly trafficked,Hlutfall villtra lífvera sem verslað er með og veiddar hafa verið með ólögmætum hætti eða eru í ólöglegum viðskiptum.
global_indicators:15-8-1-title,Proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,"Hlutfall landa sem hafa samþykkt viðeigandi innlenda löggjöf og fjármagnað með fullnægjandi hætti forvarnir eða stjórnun á ágengum, framandi tegundum."
global_indicators:15-9-1-title,Progress towards national targets established in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011–2020,Árangur af innlendum markmiðum sem sett hafa verið í samræmi við 2. markmið Aichi-markmiðanna um líffræðilega fjölbreytni í Stefnuáætlun um líffræðilega fjölbreytni 2011-2020.
global_indicators:15-a-1-title,Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems,Opinber þróunaraðstoð og opinber útgjöld til varðveislu og sjálfbærrar nýtingar líffræðilegrar fjölbreytni og vistkerfa.
global_indicators:15-b-1-title,Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems,Opinber þróunaraðstoð og opinber útgjöld til varðveislu og sjálfbærrar nýtingar líffræðilegrar fjölbreytni og vistkerfa.
global_indicators:15-c-1-title,Proportion of traded wildlife that was poached or illicitly trafficked,Hlutfall villtra lífvera sem verslað er með og veiddar hafa verið með ólögmætum hætti eða eru í ólöglegum viðskiptum.
global_indicators:16-1-1-title,"Number of victims of intentional homicide per 100,000 population, by sex and age","Fjöldi fórnarlamba ásetningsmorða á hverja 100.000 íbúa, eftir kyni og aldri."
global_indicators:16-1-2-title,"Conflict-related deaths per 100,000 population, by sex, age and cause","Átakatengd dauðsföll á hverja 100.000 íbúa, eftir kyni, aldri og orsök."
global_indicators:16-1-3-title,"Proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months","Hlutfall íbúa sem orðið hefur fyrir líkamlegu, andlegu eða kynferðislegu ofbeldi á síðastliðnum 12 mánuðum."
global_indicators:16-1-4-title,Proportion of population that feel safe walking alone around the area they live,Hlutfall íbúa sem upplifir sig örugga á göngu einir síns liðs í nágrenni heimilis síns.
global_indicators:16-10-1-title,"Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","Fjöldi sannprófaðra tilvika þar sem blaðamenn, tengdir starfsmenn fjölmiðla, félagar í stéttarfélögum og baráttumenn fyrir mannréttindum hafa verið myrtir, rænt, horfið af mannavöldum, fangelsaðir með tilviljanakenndum hætti eða pyntaðir á síðastliðnum 12 mánuðum."
global_indicators:16-10-2-title,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information","Fjöldi landa sem hafa samþykkt og komið til framkvæmda aðgengi almennings að upplýsingum sem er tryggt samkvæmt stjórnarskrá, lögum og/eða stefnum."
global_indicators:16-2-1-title,Proportion of children aged 1–17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,Hlutfall barna á aldrinum 1-17 ára sem orðið hafa fyrir einhvers konar líkamlegum refsingum og/eða andlegu ofbeldi af hálfu umönnunaraðila síðastliðinn mánuð.
global_indicators:16-2-2-title,"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","Fjöldi mansalsfórnarlamba á hverja 100.000 íbúa, eftir kyni, aldri og tegund misneytingar."
global_indicators:16-2-3-title,Proportion of young women and men aged 18–29 years who experienced sexual violence by age 18,Hlutfall ungra kvenna og karla á aldrinum 18-29 ára sem orðið hafa fyrir kynferðislegu ofbeldi fyrir 18 ára aldur.
global_indicators:16-3-1-title,Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms,Hlutfall fórnarlamba ofbeldis á síðastliðnum 12 mánuðum sem tilkynnt hafa um brot gegn sér til lögbærra yfirvalda eða annarra opinberlega viðurkenndra sáttaumleitunaraðila.
global_indicators:16-3-2-title,Unsentenced detainees as a proportion of overall prison population,Hlutfall ósakfelldra gæslufanga af heildarfjölda í fangelsum.
global_indicators:16-4-1-title,Total value of inward and outward illicit financial flows (in current United States dollars),Heildarvirði ólögmæts inn- og útflæðis fjármagns (í gildandi bandaríkjadölum)
global_indicators:16-4-2-title,"Proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments","Hlutfall haldlagðra, fundinna eða afhentra vopna þar sem lögbært stjórnvald hefur rakið eða sýnt fram á ólögmætan uppruna eða aðstæður í samræmi við alþjóðlega gerninga."
global_indicators:16-5-1-title,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months",greitt mútur til opinbers embættismanns eða fengið beiðni um það frá þessum opinberu embættismönnum á síðastliðnum 12 mánuðum.
global_indicators:16-5-2-title,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",Hlutfall rekstraraðila sem hafa átt samskipti við opinberan embættismann í a.m.k. eitt skipti og greitt mútur til opinbers embættismanns eða fengið beiðni um það frá þessum opinberu embættismönnum á síðastliðnum 12 mánuðum.
global_indicators:16-6-1-title,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar)","Frumgjöld ríkissjóðs sem hlutfall af upprunalegum, samþykktum fjárlögum, eftir geira (eða fjárlagalínum eða þess háttar)."
global_indicators:16-6-2-title,Proportion of population satisfied with their last experience of public services,Hlutfall íbúa sem eru ánægðir með síðustu upplifun sína af opinberri þjónustu.
global_indicators:16-7-1-title,"Proportions of positions (by sex, age, persons with disabilities and population groups) in public institutions (national and local legislatures, public service, and judiciary) compared to national distributions","Hlutfall stöðugilda (eftir kyni, aldri, fötluðum einstaklingum og þjóðfélagshópum) hjá opinberum stofnunum (innlendir og staðbundnir löggjafar, opinber þjónusta og dómskerfi) borið saman við skiptingu í samfélaginu."
global_indicators:16-7-2-title,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group","Hlutfall íbúa sem telja ákvarðanatöku vera fyrir alla og að brugðist sé við slíku, eftir kyni, aldri, fötlun og þjóðfélagshóp."
global_indicators:16-8-1-title,Proportion of members and voting rights of developing countries in international organizations,Hlutfall aðildarríkja og atkvæðisréttur þróunarlanda innan alþjóðastofnana.
global_indicators:16-9-1-title,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age","Hlutfall barna undir 5 ára aldri á fæðingarskrá hjá borgaralegu yfirvaldi, eftir aldri."
global_indicators:16-a-1-title,Existence of independent national human rights institutions in compliance with the Paris Principles,Fyrir liggja sjálfstæðar mannréttindastofnanir í samræmi við Parísar-reglur Sameinuðu þjóðanna.
global_indicators:16-b-1-title,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Hlutfall íbúa sem tilkynnt hafa um persónulega reynslu af mismunun eða áreitni á síðastliðnum 12 mánuðum á grundvelli mismununar sem bönnuð er samkvæmt alþjóðlegum mannréttindalögum.
global_indicators:17-1-1-title,"Total government revenue as a proportion of GDP, by source","Heildartekjur hins opinbera sem hlutfall af vergri landsframleiðslu, eftir uppruna."
global_indicators:17-1-2-title,Proportion of domestic budget funded by domestic taxes,Hlutfall innlendra fjárveitinga sem fjármagnaðar eru með innlendum sköttum.
global_indicators:17-10-1-title,Worldwide weighted tariff-average,Vegið meðaltal tolla á heimsvísu.
global_indicators:17-11-1-title,Developing countries’ and least developed countries’ share of global exports,Hluti þróunarlanda og þeirra landa sem eru skemmst á veg komin í þróun af heildarútflutningi á heimsvísu.
global_indicators:17-12-1-title,"Average tariffs faced by developing countries, least developed countries and small island developing States","Meðaltollar á þróunarlönd, þau lönd sem eru skemmst á veg komin í þróun og lítil eyríki í hópi þróunarríkja."
global_indicators:17-13-1-title,Macroeconomic Dashboard,Þjóðhagslegt mælaborð.
global_indicators:17-14-1-title,Number of countries with mechanisms in place to enhance policy coherence of sustainable development,Fjöldi landa þar sem fyrir hendi er fyrirkomulag til að stuðla að samfellu í stefnum um sjálfbæra þróun.
global_indicators:17-15-1-title,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,Að hvaða marki veitendur þróunarsamvinnu nota árangursramma og skipulagningarúrræði í eigu landanna.
